iter	Logloss
0	0.6524291243
1	0.6163062347
2	0.5817548444
3	0.5494912738
4	0.5176515482
5	0.4924947977
6	0.4693587914
7	0.4457295112
8	0.4231198239
9	0.4021617055
10	0.3831947498
11	0.3664713666
12	0.3522442153
13	0.3379911021
14	0.3245301666
15	0.3094289269
16	0.2983563819
17	0.2880075529
18	0.2771973405
19	0.2655549469
20	0.2561394003
21	0.2487549109
22	0.2418142994
23	0.2351654614
24	0.2273213517
25	0.2208334956
26	0.2147087768
27	0.2070201257
28	0.2011669136
29	0.1956456034
30	0.1914035665
31	0.1870544215
32	0.1813207833
33	0.1773875262
34	0.1723315155
35	0.1683511871
36	0.1644235311
37	0.1603705283
38	0.1560220699
39	0.152883986
40	0.1490847972
41	0.1455973058
42	0.1422204952
43	0.1390705694
44	0.1357085027
45	0.1338793203
46	0.1307750928
47	0.1274523277
48	0.1249876744
49	0.1232552558
50	0.1203573028
51	0.1179195396
52	0.1160901075
53	0.1136949535
54	0.1116684522
55	0.1100911802
56	0.108563351
57	0.1068828871
58	0.1048106562
59	0.1030210717
60	0.1013151142
61	0.09970931383
62	0.09790516485
63	0.09621081518
64	0.09474632248
65	0.09277843015
66	0.09112444294
67	0.0898843855
68	0.0882066598
69	0.08676691972
70	0.08553969494
71	0.08457551266
72	0.08311860254
73	0.08192855741
74	0.08069075446
75	0.07981787528
76	0.0786328618
77	0.07765812474
78	0.0768991482
79	0.07569107493
80	0.0741880842
81	0.07312735653
82	0.07211170314
83	0.07114468908
84	0.06999384406
85	0.06931796396
86	0.068107722
87	0.06732808837
88	0.06624703125
89	0.06506436588
90	0.06422816708
91	0.06339957426
92	0.06230993602
93	0.06171479644
94	0.06092165145
95	0.06006621534
96	0.05945434258
97	0.05869838114
98	0.05793669765
99	0.05703291084
100	0.05626890654
101	0.05549233871
102	0.05448686565
103	0.05379757949
104	0.05326915811
105	0.05263131967
106	0.05220873078
107	0.05169660962
108	0.05095180753
109	0.05058052203
110	0.05000884791
111	0.04934096385
112	0.04884002155
113	0.04825189509
114	0.04783844899
115	0.04732470522
116	0.04663166288
117	0.04639199614
118	0.04602550046
119	0.04564925742
120	0.04501173491
121	0.04479545952
122	0.04446557402
123	0.0440810892
124	0.0435702084
125	0.04337023714
126	0.04282218449
127	0.04227970958
128	0.04186237858
129	0.04152780857
130	0.04135704431
131	0.04095329878
132	0.04049879203
